pcis_rank,road_name,PCIS_score,peak_forecast_30d
1,Outer Ring Road,100.0,12.2
2,Bellary Road,78.59,4.8
3,Pusa Thippasandra Main Road,75.15,4.0
4,8th Main Road,74.88,2.2
5,12th Main Road,69.79,16.7
6,Bengaluru Bellary Road,68.45,-0.1
7,14th Main Road,67.35,0.7
8,1st Cross Road,66.19,11.0
9,9th Main Road,58.36,2.0
10,Jakkur Main Road,58.26,1.6
11,Outer Ring Road,56.91,14.8
12,1st Main Road,56.37,1.3
13,Outer Ring Road,55.99,6.0
14,MBT Road,55.78,8.8
15,2nd A Cross Road,51.15,3.4
16,New Horizon College Road,50.85,26.9
17,4th Main Road,49.67,2.4
18,Mysore Road,47.06,9.7
19,10th Cross Road,44.66,1.0
20,Outer Ring Road,43.83,4.9
